flavor,OnDemand,RAllUpfront1Y,RPartialUpfront1YUP,RPartialUpfront1YM,RNoUpfront1YM
r5a.16xlarge,3.616,18626,9503,1.085,2.278
r5a.24xlarge,5.424,27938,14254,1.627,3.417
r5a.2xlarge,0.452,2328,1188,0.136,0.285
r5a.4xlarge,0.904,4656,2376,0.271,0.57
r5a.8xlarge,1.808,9313,4751,0.542,1.139
r5a.large,0.113,582,297,0.034,0.071
r5a.xlarge,0.226,1164,594,0.068,0.142
r5ad.12xlarge,3.144,16194,8262,0.943,1.981
r5ad.16xlarge,4.192,21592,11017,1.258,2.641
r5ad.24xlarge,6.288,32389,16525,1.886,3.961
r5ad.2xlarge,0.524,2699,1377,0.157,0.33
r5ad.4xlarge,1.048,5398,2754,0.314,0.66
r5ad.8xlarge,2.096,10796,5508,0.629,1.32
r5ad.large,0.131,675,344,0.039,0.083
r5ad.xlarge,0.262,1350,689,0.079,0.165
r5b.12xlarge,3.576,18420,9398,1.0728,2.25288
r5b.16xlarge,4.768,24559,12530,1.4304,3.00384
r5b.24xlarge,7.152,36839,18795,2.1456,4.50576
r5b.2xlarge,0.596,3070,1566,0.1788,0.37548
r5b.4xlarge,1.192,6140,3133,0.3576,0.75096
r5b.8xlarge,2.384,12280,6265,0.7152,1.50192
r5b.large,0.149,767,392,0.0447,0.09387
r5b.metal,7.152,36839,18795,2.1456,4.50576
r5b.xlarge,0.298,1535,783,0.0894,0.18774
r5d.12xlarge,3.456,17801,9082,1.037,2.177
r5d.16xlarge,4.608,23735,12110,1.382,2.903
r5d.24xlarge,6.912,35603,18165,2.074,4.355
r5d.2xlarge,0.576,2967,1514,0.173,0.363
r5d.4xlarge,1.152,5934,3027,0.346,0.726
r5d.8xlarge,2.304,11868,6055,0.691,1.452
r5d.large,0.144,742,378,0.043,0.091
r5d.metal,6.912,35603,18165,2.074,4.355
r5d.xlarge,0.288,1483,757,0.086,0.181
r5dn.12xlarge,4.008,20645,10533,1.202,2.525
r5dn.16xlarge,5.344,27526,14044,1.603,3.367
r5dn.24xlarge,8.016,41289,21066,2.405,5.05
r5dn.2xlarge,0.668,3441,1756,0.2,0.421
